Gene	sgRNA	CTRL|beta	CTRL|z	CTRL|wald-p-value	CTRL|wald-fdr	Pos|beta	Pos|z	Pos|wald-p-value	Pos|wald-fdr	Neg|beta	Neg|z	Neg|wald-p-value	Neg|wald-fdr
CRB2	10	0.97821	1.5592	0.11895	0.20275	1.5015	2.3929	0.016716	0.035794	2.7338	4.3556	1.3268e-05	7.7538e-05
DCLK2	5	1410.4	nan	nan	1	12519	nan	nan	1	1830.5	nan	nan	1
SDSL	5	-1.4094	-1.5247	0.12733	0.21393	0.54027	0.58261	0.56016	0.6417	2.635	2.8387	0.0045299	0.014874
NTRK1	4	1.4454	1.382	0.16696	0.26572	-1.5165	-1.4515	0.14665	0.21881	-2.3159	-2.2052	0.027442	0.068512
AURKAIP1	5	-659.26	nan	nan	1	-852.75	nan	nan	1	-866.2	nan	nan	1
GABRA1	4	0.67901	1.0991	0.27171	0.38564	2.5927	4.1946	2.7331e-05	0.00018671	-2.1365	-3.4513	0.00055782	0.0023537
PRKACB	4	3.2647	7.3463	2.0382e-13	1.0559e-11	3.4809	7.8286	4.9321e-15	2.9672e-13	-0.36732	-0.82484	0.40946	0.56288
SLC25A22	5	1.7537	3.7657	0.00016611	0.0012343	2.3736	5.0945	3.4961e-07	4.376e-06	4.7131	10.111	4.9461e-24	2.7953e-22
MAT1A	5	-3.1758	-3.1899	0.0014234	0.0067206	0.80087	0.80022	0.42358	0.51521	-2.1633	-2.1597	0.030799	0.074888
THRA	5	0.99024	1.5018	0.13316	0.22154	1.413	2.1419	0.032201	0.061849	3.8255	5.7963	6.7785e-09	6.1668e-08
SST	4	1.2489	1.47	0.14156	0.23179	-1.9133	-2.2532	0.024247	0.048781	-2.1393	-2.5129	0.011975	0.034413
CHRM4	5	-0.11341	-0.14754	0.8827	0.9285	1.5308	1.9906	0.046529	0.084168	-2.1649	-2.8123	0.0049187	0.016009
MAP3K8	4	1.4872	2.7164	0.0066005	0.021131	2.8326	5.1709	2.3292e-07	3.1028e-06	-1.5019	-2.7383	0.0061763	0.019523
