Gene	sgRNA	CTRL|beta	CTRL|z	CTRL|wald-p-value	CTRL|wald-fdr	Pos|beta	Pos|z	Pos|wald-p-value	Pos|wald-fdr	Neg|beta	Neg|z	Neg|wald-p-value	Neg|wald-fdr
CRB2	9	-0.0042169	-0.0076738	0.99388	0.99901	-0.45595	-0.82994	0.40657	0.65266	-0.94549	-1.7209	0.085272	0.14153
DCLK2	5	18785	nan	nan	1	-31.882	nan	nan	1	14246	nan	nan	1
SDSL	5	0.41205	nan	nan	1	1571.3	nan	nan	1	-21.914	nan	nan	1
NTRK1	4	436.03	nan	nan	1	3.294	nan	nan	1	60.367	nan	nan	1
AURKAIP1	5	1794.7	nan	nan	1	-3.4584	nan	nan	1	-13.571	nan	nan	1
GABRA1	5	1500.1	nan	nan	1	307.97	nan	nan	1	16.765	nan	nan	1
PRKACB	5	18043	nan	nan	1	10126	nan	nan	1	-50210	nan	nan	1
SLC25A22	5	0.21101	0.45292	0.65061	0.97482	-0.23844	-0.51201	0.60864	0.82224	0.28958	0.62174	0.53411	0.63795
MAT1A	5	268.94	nan	nan	1	-8395.5	nan	nan	1	-8613.1	nan	nan	1
THRA	5	-0.54041	-0.82073	0.4118	0.8915	-1.1778	-1.7896	0.073514	0.19464	-0.57417	-0.87228	0.38306	0.4913
SST	5	2737.7	nan	nan	1	892.13	nan	nan	1	-15.586	nan	nan	1
CHRM4	4	-0.81984	-1.1661	0.24358	0.77833	-0.38026	-0.54117	0.58839	0.8071	-6.4056	-9.1103	8.217e-20	8.0861e-19
MAP3K8	4	-0.052637	-0.096307	0.92328	0.98635	0.22997	0.42101	0.67375	0.86414	-5.9217	-10.831	2.4465e-27	3.4006e-26
PRSS8	5	-0.55952	-0.67862	0.49738	0.93902	0.74019	0.89815	0.3691	0.61981	-1.4221	-1.7254	0.084462	0.14039
DUSP16	5	-14765	nan	nan	1	-14675	nan	nan	1	1867.3	nan	nan	1
SLC16A1	7	7981.2	nan	nan	1	-3603.3	nan	nan	1	-23191	nan	nan	1
TPK1	5	-1.6182	-1.9271	0.053968	0.28732	0.36338	0.43296	0.66504	0.86317	-1.5132	-1.8026	0.071443	0.12092
GLRB	5	-0.81033	-0.89571	0.37041	0.868	0.75016	0.82958	0.40677	0.65266	-4.3216	-4.7782	1.7683e-06	5.1341e-06
GSG2	5	0.84458	0.94377	0.34529	0.86074	-1.3443	-1.5029	0.13287	0.31105	-4.4944	-5.0237	5.0673e-07	1.5963e-06
SGK223	5	-5308.2	nan	nan	1	-4768	nan	nan	1	-4464	nan	nan	1
ACSS2	5	-3.5901	nan	nan	1	637.1	nan	nan	1	5.3876	nan	nan	1
UCKL1	5	1515.4	nan	nan	1	5981.4	nan	nan	1	-463.59	nan	nan	1
CRH	5	1.1834	1.4279	0.15333	0.58191	-2.2569	-2.7244	0.0064421	0.024357	-2.8247	-3.4092	0.00065148	0.0014289
GABRE	5	-11396	nan	nan	1	-87936	nan	nan	1	10722	nan	nan	1
CLK3	9	-1.9137	-2.3949	0.016624	0.10614	-2.0336	-2.5456	0.010908	0.038145	-0.38889	-0.48675	0.62644	0.71888
PPP2R3B	5	-0.5761	-0.77769	0.43675	0.90273	-0.12226	-0.16512	0.86885	0.95659	-1.6762	-2.2634	0.023611	0.043469
STK11	10	0.043094	0.069638	0.94448	0.98635	-1.6439	-2.6572	0.0078803	0.028544	-0.39435	-0.63735	0.5239	0.63099
GRK4	5	958.73	nan	nan	1	-101.87	nan	nan	1	-78.608	nan	nan	1
EPHB2	5	0.19939	0.24864	0.80364	0.97957	-4.4414	-5.541	3.0067e-08	2.6964e-07	1.1666	1.4552	0.14562	0.22397
ATP6V1A	5	-5.4229	-7.5317	5.0095e-14	1.3926e-12	-4.5247	-6.2935	3.1039e-10	3.4174e-09	-6.4702	-8.9546	3.4102e-19	3.2691e-18
PTPN5	5	0.070995	0.084506	0.93265	0.98635	-0.2113	-0.25163	0.80133	0.92242	-4.4201	-5.2628	1.4191e-07	4.7965e-07
CAMK2G	4	0.86038	0.94559	0.34436	0.86074	-2.4314	-2.6737	0.0075017	0.027531	-2.0173	-2.218	0.026555	0.048728
DRD4	5	-0.36661	-0.34249	0.73198	0.97482	-1.8749	-1.7523	0.079723	0.20909	-0.48517	-0.45338	0.65027	0.73561
PKN3	5	-4390.7	nan	nan	1	-4344.3	nan	nan	1	-3944	nan	nan	1
PASK	5	3349	nan	nan	1	356.89	nan	nan	1	860.52	nan	nan	1
HIPK4	4	-0.11226	-0.11451	0.90884	0.98635	0.22505	0.22968	0.81834	0.92566	-3.4367	-3.5069	0.00045335	0.0010082
ADSSL1	5	0.5886	1.143	0.25302	0.78592	-0.24995	-0.48562	0.62723	0.83232	0.26186	0.50869	0.61097	0.7055
