Gene	sgRNA	CTRL|beta	CTRL|z	CTRL|wald-p-value	CTRL|wald-fdr	Pos|beta	Pos|z	Pos|wald-p-value	Pos|wald-fdr
CRB2	10	0.93385	2.0146	0.043947	0.10921	1.0717	2.2595	0.023851	0.054523
DCLK2	5	0.84125	1.3809	0.16731	0.30242	1.8651	2.9279	0.0034129	0.010684
SDSL	5	-0.027777	-0.042838	0.96583	0.9818	1.1048	1.63	0.10311	0.17989
NTRK1	4	1.019	1.1619	0.24526	0.39504	-2.3126	-2.5003	0.012409	0.03193
AURKAIP1	5	0.52744	0.63979	0.52231	0.66065	-0.29239	-0.33924	0.73443	0.80204
GABRA1	5	0.97557	1.7219	0.085095	0.18061	1.5298	2.5822	0.0098185	0.02619
PRKACB	5	1.4528	2.1308	0.033104	0.087682	1.4547	2.0445	0.040907	0.084793
SLC25A22	5	1.3047	4.1325	3.5881e-05	0.00044931	1.4693	4.4505	8.5668e-06	8.4321e-05
MAT1A	5	-2.8525	-3.3371	0.00084645	0.0059436	0.18665	0.20838	0.83494	0.88313
THRA	5	0.89802	1.6641	0.096088	0.19813	0.81951	1.4523	0.14641	0.23759
SST	5	1.3246	2.1233	0.03373	0.089235	-2.8867	-4.4346	9.2246e-06	8.9237e-05
CHRM4	5	-0.53633	-0.66766	0.50435	0.64408	0.59894	0.71307	0.4758	0.57828
MAP3K8	4	0.86042	1.6784	0.093264	0.19322	2.0221	3.7334	0.00018894	0.0010464
PRSS8	5	1.0493	1.9871	0.046916	0.11467	2.386	4.3209	1.5539e-05	0.00013419
DUSP16	5	1.0267	1.308	0.19088	0.33379	-0.39112	-0.47665	0.63361	0.72202
SLC16A1	9	1.0892	1.8487	0.064504	0.14612	0.10123	0.17633	0.86004	0.90206
TPK1	5	0.087727	0.14845	0.88199	0.92638	2.2527	3.6452	0.00026717	0.0013472
GLRB	5	0.61179	1.2349	0.21686	0.36552	2.4828	4.7925	1.647e-06	2.2499e-05
GSG2	5	1.8151	3.6947	0.00022016	0.0019771	0.73126	1.4235	0.1546	0.24837
SGK223	5	1.2626	2.5151	0.0119	0.041714	0.97622	1.8597	0.062923	0.12081
ACSS2	5	-0.2504	-0.37451	0.70803	0.80381	2.5194	3.6032	0.00031436	0.0015301
UCKL1	5	1.3166	3.0738	0.0021133	0.011773	1.0593	2.3651	0.018024	0.042991
CRH	5	1.9077	2.7953	0.0051855	0.022477	0.8827	1.237	0.2161	0.323
GABRE	5	1365.2	nan	nan	1	-4421.1	nan	nan	1
CLK3	10	-2.0054	-3.7287	0.00019246	0.0017563	-1.6184	-2.9415	0.0032661	0.01034
PPP2R3B	5	0.68575	1.7185	0.085704	0.18139	1.8514	4.4369	9.1284e-06	8.8688e-05
STK11	10	1.1732	2.3146	0.020633	0.061221	0.1947	0.37541	0.70736	0.78156
GRK4	5	1.4386	3.1503	0.0016312	0.0096753	0.84935	1.7787	0.075284	0.13955
EPHB2	5	1.2045	1.9057	0.05669	0.13269	-2.419	-3.6639	0.00024841	0.0012611
ATP6V1A	5	-3.431	-5.7691	7.9687e-09	3.0443e-07	-2.5362	-4.0702	4.6974e-05	0.00033506
PTPN5	5	0.81095	1.5105	0.13091	0.25242	1.7237	3.0703	0.0021383	0.0071756
CAMK2G	5	0.46412	0.52099	0.60238	0.72568	1.0159	1.0906	0.27543	0.38614
DRD4	5	0.91962	1.0942	0.27387	0.42544	0.24611	0.28019	0.77933	0.83808
PKN3	5	0.69321	1.1973	0.2312	0.38066	1.0627	1.7555	0.079176	0.14545
PASK	5	0.67714	0.88263	0.37744	0.52855	-0.89032	-1.1102	0.2669	0.37765
HIPK4	5	0.10167	0.15906	0.87362	0.92209	1.192	1.7835	0.074503	0.13844
ADSSL1	5	1.7754	4.9637	6.917e-07	1.5437e-05	1.4456	3.8651	0.00011106	0.00067475
IDH3A	10	1.3859	4.0526	5.0654e-05	0.00058252	1.3227	3.78	0.00015683	0.00089265
PPCDC	10	-0.6381	-1.0305	0.30279	0.45621	-0.46062	-0.72717	0.46712	0.57036
HCN2	5	0.11546	0.16774	0.86679	0.91788	0.37186	0.51672	0.60535	0.69687
MAP4K4	5	-2.7178	-3.4228	0.00061969	0.0045497	-0.11771	-0.14156	0.88743	0.92434
BLK	5	-2.8744	-4.6117	3.9936e-06	6.9779e-05	-1.9507	-2.9906	0.0027841	0.0089775
MAPK6	5	-1.9877	-2.4177	0.015619	0.050294	-0.62687	-0.72903	0.46598	0.56928
MST4	5	0.96963	1.2687	0.20455	0.35061	0.20029	0.25069	0.80206	0.85436
TBCK	5	0.43246	0.57768	0.56348	0.69556	0.84456	1.079	0.28057	0.39062
TPSAB1	5	0.42859	0.56863	0.56961	0.69967	-0.92375	-1.1723	0.24109	0.35356
SLC18A2	5	1.6668	2.5084	0.012127	0.042247	-0.21405	-0.30808	0.75802	0.82143
CGA	9	-1.0976	-1.7266	0.084239	0.17927	-0.28517	-0.43741	0.66182	0.74624
ART1	4	-2.0165	-2.1423	0.03217	0.086322	1.5645	1.5724	0.11585	0.19753
ADRA2A	4	1.9497	2.4256	0.015282	0.049633	-2.315	-2.7293	0.0063464	0.018107
GRIK5	5	0.72194	1.2375	0.2159	0.36425	2.2835	3.7432	0.0001817	0.0010138
