Gene	sgRNA	CTRL|beta	CTRL|z	CTRL|wald-p-value	CTRL|wald-fdr	Pos|beta	Pos|z	Pos|wald-p-value	Pos|wald-fdr
CRB2	10	-0.31396	-0.65678	0.51132	0.82702	-0.85918	-1.8033	0.071338	0.16336
DCLK2	5	-0.32213	-0.49992	0.61713	0.87771	0.051833	0.080971	0.93546	0.96438
SDSL	5	-1.1854	-1.6741	0.094103	0.37172	-0.68749	-0.97735	0.32839	0.49492
NTRK1	4	-278.46	nan	nan	1	4226.4	nan	nan	1
AURKAIP1	5	-12517	nan	nan	1	2119.4	nan	nan	1
GABRA1	5	-0.17071	-0.28939	0.77229	0.92056	-0.33003	-0.56316	0.57333	0.71345
PRKACB	5	0.76886	1.0684	0.28532	0.70127	-0.00027329	-0.00038228	0.99969	0.99969
SLC25A22	5	0.19608	0.59	0.55519	0.84684	-0.33225	-1.0063	0.31425	0.47933
MAT1A	5	1143.4	nan	nan	1	-11397	nan	nan	1
THRA	5	-0.25365	-0.4336	0.66458	0.89237	-1.0025	-1.7249	0.084537	0.18708
SST	5	0.14857	0.21895	0.82669	0.9409	-4.9848	-7.4001	1.361e-13	2.5209e-12
CHRM4	4	-0.6351	-0.81964	0.41242	0.78847	-0.44155	-0.57453	0.56561	0.70713
MAP3K8	4	-0.21963	-0.40715	0.68389	0.90141	0.26131	0.48839	0.62527	0.75585
PRSS8	5	-0.065002	-0.12041	0.90415	0.9673	0.57482	1.0719	0.28378	0.45268
DUSP16	5	-0.041777	-0.049092	0.96085	0.98638	-2.1508	-2.5442	0.010954	0.034329
SLC16A1	9	-0.1774	-0.30051	0.76379	0.92017	-1.9055	-3.2938	0.00098841	0.0041522
TPK1	5	-1.1339	-1.7497	0.080163	0.3416	0.36962	0.57416	0.56586	0.70713
GLRB	5	-0.56024	-1.0779	0.28107	0.69786	0.64922	1.2574	0.20862	0.36348
GSG2	5	0.73312	1.4176	0.15632	0.51436	-1.0745	-2.0914	0.036488	0.096201
SGK223	5	0.15196	0.27705	0.78174	0.92056	-0.80439	-1.4762	0.13988	0.27286
ACSS2	5	-1.5279	-2.0408	0.041266	0.20892	0.64744	0.87047	0.38404	0.55036
UCKL1	5	0.20925	0.4698	0.6385	0.88288	-0.80919	-1.8288	0.067436	0.15665
CRH	5	0.92753	1.2179	0.22326	0.61167	-0.85723	-1.1331	0.25719	0.42184
GABRE	5	-2034.5	nan	nan	1	-21072	nan	nan	1
CLK3	9	-2.84	-4.6131	3.9676e-06	5.382e-05	-3.0346	-4.9474	7.5196e-07	5.1792e-06
PPP2R3B	5	-0.48487	-1.1444	0.25245	0.65585	0.0083334	0.019799	0.9842	0.9914
STK11	10	-0.061919	-0.11574	0.90786	0.96852	-1.7146	-3.2156	0.0013017	0.0053174
GRK4	5	0.32246	0.6649	0.50612	0.8253	-0.95381	-1.9797	0.047734	0.11913
EPHB2	5	0.018944	0.027278	0.97824	0.98867	-4.499	-6.5235	6.8688e-11	9.3366e-10
ATP6V1A	5	-5.0057	-7.6908	1.4618e-14	5.0933e-13	-4.3993	-6.8444	7.6806e-12	1.2078e-10
PTPN5	5	-0.34625	-0.61271	0.54007	0.83887	-0.13428	-0.23919	0.81096	0.89276
CAMK2G	5	-0.64527	-0.67312	0.50087	0.82497	-0.67561	-0.70942	0.47806	0.63874
DRD4	5	-0.076163	-0.083528	0.93343	0.97425	-1.3441	-1.4839	0.13785	0.27007
PKN3	5	-837.25	nan	nan	1	-841.38	nan	nan	1
PASK	5	-7122.4	nan	nan	1	-905.03	nan	nan	1
HIPK4	4	0.051315	0.11326	0.90983	0.96928	0.33095	0.73646	0.46145	0.62168
ADSSL1	5	0.71357	1.9722	0.048581	0.23717	-0.35757	-0.99481	0.31983	0.48576
IDH3A	10	0.13559	0.38659	0.69906	0.90371	-0.62678	-1.793	0.07297	0.16624
PPCDC	10	-1.9688	-3.0077	0.002632	0.020359	-2.4113	-3.6961	0.00021896	0.0010544
HCN2	5	-1.0791	-1.4395	0.15002	0.50436	-1.4845	-1.9934	0.046222	0.11651
MAP4K4	4	-4.2754	-4.4643	8.0344e-06	0.00010346	-1.4179	-1.4922	0.13565	0.26724
BLK	5	4255	nan	nan	1	3249.5	nan	nan	1
MAPK6	5	2626.2	nan	nan	1	797.96	nan	nan	1
MST4	5	-0.036638	-0.044499	0.96451	0.98695	-1.5187	-1.8568	0.063335	0.14927
TBCK	5	-0.63716	-0.78425	0.43289	0.80468	-0.92372	-1.1445	0.25243	0.41728
TPSAB1	5	-546.88	nan	nan	1	-522.1	nan	nan	1
SLC18A2	5	0.56077	0.77581	0.43786	0.80468	-2.0456	-2.8487	0.0043891	0.015662
CGA	9	-2.4983	-3.6794	0.00023379	0.0022702	-2.2768	-3.3655	0.00076409	0.0033117
ART1	4	-538.48	nan	nan	1	-11169	nan	nan	1
ADRA2A	4	0.92362	0.99749	0.31853	0.7257	-4.3684	-4.7594	1.9421e-06	1.237e-05
GRIK5	5	-0.35934	-0.56576	0.57155	0.85495	0.45843	0.72653	0.46752	0.6289
MGAT1	10	-0.92225	-1.6284	0.10345	0.39726	-1.3043	-2.3106	0.020857	0.060561
SLC6A14	5	-0.30171	-0.40241	0.68738	0.90279	-0.80796	-1.0847	0.27804	0.44591
SLC1A6	5	-0.44704	-0.88084	0.3784	0.77241	-0.61966	-1.229	0.21906	0.3783
STK17B	5	-0.23366	-0.43318	0.66488	0.89237	-0.47681	-0.88978	0.37358	0.53972
NEGATIVE_CONTROL	0
SIK2	5	-4.4845	-5.3028	1.1406e-07	2.252e-06	-3.1884	-3.795	0.00014765	0.00072281
SLC25A12	5	-4439.4	nan	nan	1	-9486.7	nan	nan	1
PDE4C	10	-2706.9	nan	nan	1	-22861	nan	nan	1
EHHADH	5	0.21178	0.43492	0.66362	0.89237	-6.4265	-13.266	3.6251e-40	3.2209e-38
LGALS9	5	335.43	nan	nan	1	406.15	nan	nan	1
MAPK1	5	-0.066076	-0.11554	0.90802	0.96852	-0.65385	-1.1509	0.24978	0.41599
GSTA4	8	5.6777	nan	nan	1	609.73	nan	nan	1
SLC7A4	4	0.27665	0.27701	0.78178	0.92056	-4.0384	-4.0785	4.5325e-05	0.00023759
ACADSB	4	-0.0478	-0.046835	0.96265	0.98695	-3.9903	-3.9438	8.0212e-05	0.00040725
SCN5A	5	-0.48426	-0.9914	0.32149	0.72683	-0.30053	-0.61933	0.5357	0.68435
HAGH	5	0.087069	0.1488	0.88171	0.96122	-0.59896	-1.0304	0.30282	0.46724
PINK1	5	-0.04768	-0.087788	0.93005	0.97393	-1.4965	-2.7735	0.0055456	0.019135
TRIM33	5	0.4477	0.71958	0.47179	0.81568	-0.44441	-0.71901	0.47214	0.63415
GSTA2	5	-0.041417	-0.058781	0.95313	0.98243	-0.33945	-0.48494	0.62772	0.7583
MAK	5	-1.198	-1.7745	0.075973	0.33089	-0.97929	-1.46	0.14429	0.27754
PPP2CB	4	-0.4377	-0.41707	0.67663	0.89646	-4.1416	-3.9807	6.8715e-05	0.00035189
ADCK1	5	0.67268	1.0839	0.27841	0.69395	-4.5571	-7.3944	1.4203e-13	2.5754e-12
PTPRE	10	-0.69053	-1.1454	0.25203	0.65572	-1.8909	-3.147	0.0016494	0.0065423
NOXO1	5	-842.39	nan	nan	1	-5978.5	nan	nan	1
PURA	9	-0.1675	-0.36992	0.71144	0.90389	-1.174	-2.6023	0.0092593	0.029916
KRT12	4	-0.25219	-0.33347	0.73878	0.91286	-1.8627	-2.4851	0.012953	0.039617
EIF2AK2	5	-12605	nan	nan	1	-1028	nan	nan	1
CSAD	4	0.54307	0.67985	0.4966	0.82497	-4.6942	-5.9282	3.0632e-09	3.2595e-08
PTGS1	5	2501.6	nan	nan	1	-11705	nan	nan	1
TUBB	10	4243.8	nan	nan	1	2457.8	nan	nan	1
GABBR2	5	-0.48533	-0.78452	0.43274	0.80468	-0.16923	-0.27536	0.78304	0.87251
PRKCA	5	-0.89729	-1.4586	0.14469	0.49869	-0.99466	-1.6275	0.10363	0.2189
PPFIA2	9	-2.056	-3.0394	0.0023703	0.018555	-1.8416	-2.7324	0.0062867	0.021401
