Gene	sgRNA
CRB2	CRB2_+_126118497.23-P1
CRB2	CRB2_-_126131454.23-P2
CRB2	CRB2_+_126131139.23-P2
CHRM4	CHRM4_-_46408121.23-P1P2
SLC16A1	SLC16A1_+_113478527.23-P2
SLC16A1	SLC16A1_+_113498791.23-P1
CLK3	CLK3_-_74890853.23-P2
PPP2R3B	PPP2R3B_-_347634.23-P1P2
PPP2R3B	PPP2R3B_-_347649.23-P1P2
STK11	STK11_+_1206230.23-P1
STK11	STK11_-_1205806.23-P1
EPHB2	EPHB2_-_23037351.23-P1P2
CAMK2G	CAMK2G_-_75633906.23-P1P2
PASK	PASK_-_242088870.23-P1P2
HIPK4	HIPK4_+_40896062.23-P1P2
IDH3A	IDH3A_+_78423872.23-P2
IDH3A	IDH3A_+_78424258.23-P2
IDH3A	IDH3A_-_78441693.23-P1
PPCDC	PPCDC_+_75316147.23-P1
MAP4K4	MAP4K4_-_102314429.23-P1P2
MAPK6	MAPK6_-_52311462.23-P1P2
SLC18A2	SLC18A2_+_119000666.23-P1P2
CGA	CGA_-_87804788.23-P1
ART1	ART1_-_3666702.23-P1P2
ART1	ART1_-_3666414.23-P1P2
GRIK5	GRIK5_-_42546915.23-P1P2
MGAT1	MGAT1_-_180230817.23-P2
SLC1A6	SLC1A6_-_15090514.23-P1P2
SLC1A6	SLC1A6_-_15090481.23-P1P2
STK17B	STK17B_+_197036067.23-P1P2
SIK2	SIK2_-_111473134.23-P1P2
MAPK1	MAPK1_+_22221900.23-P1P2
GSTA4	GSTA4_-_52859020.23-P2
GSTA4	GSTA4_+_52860053.23-P1
SLC7A4	SLC7A4_+_21386840.23-P1P2
ACADSB	ACADSB_+_124768944.23-P1P2
SCN5A	SCN5A_-_38690762.23-P1P2
HAGH	HAGH_+_1876571.23-P1P2
PINK1	PINK1_-_20960428.23-P1P2
PPP2CB	PPP2CB_-_30670303.23-P1P2
PTPRE	PTPRE_-_129786028.23-ENST00000419012.2
PURA	PURA_+_139487809.23-P1
PURA	PURA_-_139493772.23-P2
PURA	PURA_+_139494073.23-P2
KRT12	KRT12_-_39023468.23-P1P2
TUBB	TUBB_-_30688042.23-P1
GABBR2	GABBR2_+_101470817.23-P1P2
PPFIA2	PPFIA2_+_82153096.23-ENST00000549396.1
LMTK2	LMTK2_-_97736262.23-P1P2
ENPEP	ENPEP_-_111397410.23-P1P2
NDUFA12	NDUFA12_+_95397400.23-P1P2
SERPINA1	SERPINA1_-_94856932.23-P2
TF	TF_+_133465271.23-P1
TF	TF_-_133483131.23-P2
MAPK13	MAPK13_+_36098354.23-P1
MAPK13	MAPK13_-_36095589.23-P2
FGFR3	FGFR3_+_1795055.23-P1P2
DNPEP	DNPEP_+_220252560.23-P1P2
PXK	PXK_+_58318664.23-P1P2
MAPK8IP1	MAPK8IP1_-_45907580.23-P2
P4HTM	P4HTM_-_49027718.23-P1P2
ACVRL1	ACVRL1_-_52300776.23-P1P2
ULK3	ULK3_+_75135243.23-P1P2
ALLC	ALLC_-_3705821.23-P1P2
SLC12A6	SLC12A6_-_34629888.23-P2
SLC12A6	SLC12A6_-_34630182.23-P2
SLC12A6	SLC12A6_+_34630144.23-P2
SRPK1	SRPK1_+_35888824.23-P1P2
CUTA	CUTA_+_33385660.23-P1P2
CA5B	CA5B_-_15756390.23-P1P2
ACPT	ACPT_-_51293910.23-ENST00000270593.1
CNKSR1	CNKSR1_+_26504060.23-P1P2
PIK3C2B	PIK3C2B_+_204463513.23-P1P2
INPP5A	INPP5A_-_134351347.23-P1P2
HBA1	HBA1_+_226709.23-P1
PPIB	PPIB_-_64455141.23-P1P2
PPIB	PPIB_-_64455144.23-P1P2
PPP1R9B	PPP1R9B_+_48228075.23-P1P2
PPP1R9B	PPP1R9B_-_48228464.23-P1P2
NPR	NPR3_-_32710867.23-P1P2
CDKN2C	CDKN2C_+_51434837.23-P2
TRIM24	TRIM24_-_138145240.23-P1P2
TUBA8	TUBA8_-_18593584.23-P1P2
RDX	RDX_+_110167318.23-P1P2
RDX	RDX_-_110167265.23-P1P2
PON1	PON1_-_95025623.23-P1P2
KCNH2	KCNH2_-_150652789.23-P2
MAPK8IP3	MAPK8IP3_-_1756275.23-P1P2
CA9	CA9_+_35674418.23-P1P2
HRH2	HRH2_-_175085145.23-P1P2
SCNN1G	SCNN1G_+_23194313.23-P1P2
TNK2	TNK2_+_195603579.23-P1
GNMT	GNMT_-_42928807.23-P1P2
SMPD1	SMPD1_+_6411694.23-P1P2
SMPD1	SMPD1_-_6411732.23-P1P2
CAMKV	CAMKV_+_49906896.23-P1P2
AURKC	AURKC_+_57742445.23-P1P2
MARK2	MARK2_-_63656296.23-P2
