Gene	Glutamatergic Neuron-Day-14-Survival-CRISPRi	Glutamatergic Neuron-Day-21-Survival-CRISPRi	Glutamatergic Neuron-Day-28-Survival-CRISPRi	mean_effect
SOD1	-16.913655932951105	-32.47006411720083	-22.482370765221468	-23.95536360512447
SEPSECS	-22.29766752080216	-26.78101772985409	-20.22784283841688	-23.10217602969104
ATP6V1C1	-21.3631652363507	-25.60269619674832	-22.009637278254967	-22.991832903784665
HMGCS1	-26.0930615453722	-19.67213443913475	-16.477490508494952	-20.747562164333967
HMGCR	-22.55481000615785	-19.62841045838009	-15.822040317085571	-19.335086927207836
MAT2A	-18.48883525173916	-17.95942636268744	-17.302045622973665	-17.91676907913342
ARPC2	-16.802699675095347	-17.732379655185387	-12.61591398330114	-15.71699777119396
PPP2R1A	-18.468133102494413	-16.65374879822504	-11.622008688382673	-15.58129686303404
ARPC3	-16.934902875597018	-14.808437812774429	-11.019534078428885	-14.254291588933443
PGGT1B	-16.53230055212698	-14.89747573725324	-10.960427063963223	-14.130067784447816
ATP6V1A	-15.606696563526716	-15.188438954850412	-11.299495310788028	-14.031543609721718
ACTR2	-16.290593877988666	-13.92807533415986	-11.529791935567037	-13.916153715905187
TARS2	-14.429216427598108	-16.20919516084706	-11.001507665307209	-13.879973084584124
EFTUD1	-15.498101080708013	-14.669475051988565	-11.149152572767749	-13.772242901821443
SQLE	-15.28072851363826	-12.258296256982463	-11.618452457247136	-13.052492409289286
NEDD8-MDP1	-11.059306043899612	-13.078558136552369	-13.630666150512672	-12.58951011032155
ASNA1	-14.991988011014278	-12.275467856709511	-9.812745428537363	-12.360067098753717
TRAPPC1	-13.827582911265994	-13.282073392592526	-9.811028627312208	-12.306894977056908
PMVK	-11.509123797287664	-13.948903848659487	-10.3684985188044	-11.942175388250517
FECH	-14.199676804270108	-11.673825881103712	-8.358860027376599	-11.410787570916808
PPP2R2A	-13.447680314660987	-11.706579117636016	-8.85648713247577	-11.336915521590925
ATP6V1B2	-12.213541665009943	-11.916772217966766	-9.844138365698964	-11.324817416225224
KAT5	-12.793746637263787	-11.55330669041095	-8.55604691376885	-10.967700080481194
MVK	-12.164510258903984	-11.0502424169578	-8.980342079786649	-10.731698251882811
CAMLG	-12.722923495110734	-11.637574726124392	-7.777195501117672	-10.7125645741176
PPP1CB	-7.676411419289041	-12.042538286353905	-11.910431298329543	-10.543127001324164
PPA1	-8.684733204152089	-12.33922537052676	-10.328644204091864	-10.450867592923572
DTYMK	-10.814512210786582	-10.489621485096686	-10.017290034571117	-10.440474576818128
SKP1	-9.759501625994709	-8.824755393444454	-12.604803826642472	-10.396353615360546
CHEK1	-11.746472118768631	-9.868422965357308	-9.44436893183177	-10.353088005319236
CDC7	-9.570385678481996	-10.48326163336183	-10.418653641015045	-10.157433650952957
SACM1L	-11.6284335521455	-9.895611331591796	-8.809642984103807	-10.111229289280368
TRAPPC5	-11.207489849019844	-9.96461572310342	-9.146381286350945	-10.106162286158069
DUT	-12.7988313738588	-7.513687854623287	-9.13301476234781	-9.8151779969433
GSR	-9.923829479201784	-11.44065781630745	-7.853225270758787	-9.739237522089342
TRRAP	-8.927529465092759	-9.44008694994376	-10.02440249691576	-9.464006303984092
TRAPPC3	-8.363849890858647	-10.021695392534674	-9.840582134526644	-9.408709139306653
TUBB	-8.58322003554869	-8.976294761035637	-10.629207051447212	-9.396240616010514
CDK7	-9.132734981352192	-8.559406478773456	-9.414104178360796	-9.035415212828815
PKMYT1	-10.953071330670037	-9.976381448810525	-6.088635631991206	-9.00602947049059
UBA1	-9.762425352397004	-8.93209379135197	-8.142543069916446	-8.94568740455514
DCPS	-8.860519876747947	-9.35375196242722	-7.280218327932428	-8.498163389035865
PPP1R8	-9.426923417987949	-8.07653473456536	-7.270408035101619	-8.257955395884975
NDUFV2	-8.869054975182369	-7.603520760634535	-7.969636658341153	-8.147404131386018
HSD17B10	-7.428258025052768	-7.812918879528245	-8.552735939930173	-7.931304281503729
GAPDH	-8.361670717253936	-8.580393989550956	-6.832746345080688	-7.924937017295193
PI4KB	-8.847626431104107	-7.802107131536053	-7.017927885603484	-7.889220482747881
ATP5A1	-7.490364472786987	-9.019064764027686	-7.096851691612399	-7.86876030947569
GUK1	-9.113304014894224	-8.042827520318141	-5.795430504277357	-7.650520679829907
AARS2	-8.694721086805627	-8.129639496715987	-6.070118704239023	-7.631493095920213
PARS2	-7.072326338099567	-7.501445140034875	-7.383716917580749	-7.319162798571731
