Gene	sgRNA
CRB2	CRB2_+_126118494.23-P1
GABRA1	GABRA1_+_161275363.23-P1P2
PRKACB	PRKACB_+_84610062.23-ENST00000370685.3
THRA	THRA_+_38219267.23-P1P2
SST	SST_+_187388155.23-P1P2
SLC16A1	SLC16A1_-_113478654.23-P2
ACSS2	ACSS2_-_33464423.23-P1P2
UCKL1	UCKL1_+_62587737.23-P1P2
GABRE	GABRE_-_151143078.23-P1P2
CLK3	CLK3_+_74890844.23-P2
CLK3	CLK3_-_74891315.23-P2
STK11	STK11_-_1206882.23-P2
STK11	STK11_+_1206230.23-P1
GRK4	GRK4_+_2965362.23-P1P2
GRK4	GRK4_+_2965359.23-P1P2
EPHB2	EPHB2_+_23037770.23-P1P2
PTPN5	PTPN5_+_18813061.23-P1P2
CAMK2G	CAMK2G_+_75634255.23-P1P2
CAMK2G	CAMK2G_-_75634301.23-P1P2
DRD4	DRD4_+_637647.23-P1P2
DRD4	DRD4_+_637674.23-P1P2
ADSSL1	ADSSL1_+_105190984.23-P1P2
IDH3A	IDH3A_-_78441693.23-P1
PPCDC	PPCDC_+_75316147.23-P1
PPCDC	PPCDC_+_75335668.23-P2
PPCDC	PPCDC_-_75315982.23-P1
HCN2	HCN2_+_589880.23-P1P2
MAP4K4	MAP4K4_-_102314429.23-P1P2
MAP4K4	MAP4K4_+_102314194.23-P1P2
BLK	BLK_-_11352324.23-P1P2
CGA	CGA_-_87797940.23-P2
MGAT1	MGAT1_+_180229792.23-P1
LGALS9	LGALS9_+_25958315.23-P1P2
GSTA4	GSTA4_+_52860045.23-P1
GSTA4	GSTA4_-_52858967.23-P2
SLC7A4	SLC7A4_-_21386596.23-P1P2
ACADSB	ACADSB_-_124768552.23-P1P2
SCN5A	SCN5A_+_38691154.23-P1P2
HAGH	HAGH_+_1876390.23-P1P2
TRIM33	TRIM33_+_115053499.23-P1P2
TRIM33	TRIM33_-_115053636.23-P1P2
MAK	MAK_+_10838745.23-P1P2
PTPRE	PTPRE_+_129785582.23-ENST00000419012.2
PTPRE	PTPRE_-_129786028.23-ENST00000419012.2
NOXO1	NOXO1_+_2031230.23-P1P2
NOXO1	NOXO1_+_2031074.23-P1P2
PURA	PURA_-_139487457.23-P1
KRT12	KRT12_-_39023397.23-P1P2
EIF2AK2	EIF2AK2_+_37383706.23-P1P2
EIF2AK2	EIF2AK2_+_37384040.23-P1P2
PTGS1	PTGS1_-_125133538.23-P1P2
TUBB	TUBB_+_30688126.23-P1
GABBR2	GABBR2_-_101471174.23-P1P2
PPFIA2	PPFIA2_+_82153068.23-ENST00000549396.1
LMTK2	LMTK2_+_97736187.23-P1P2
OXT	OXT_-_3052275.23-P1P2
PCK1	PCK1_-_56136670.23-P1P2
BDKRB2	BDKRB2_+_96671243.23-P1P2
SSH3	SSH3_+_67071444.23-P1P2
NDUFB6	NDUFB6_+_32573050.23-P1P2
MAP3K14	MAP3K14_-_43393975.23-P1P2
SERPINA1	SERPINA1_+_94856519.23-P2
SERPINA1	SERPINA1_+_94854859.23-P1
SERPINA1	SERPINA1_+_94856474.23-P2
TF	TF_-_133465300.23-P1
NDUFB7	NDUFB7_+_14682640.23-P1P2
NDUFB7	NDUFB7_+_14682616.23-P1P2
SLC1A5	SLC1A5_-_47291800.23-P1
SLC1A5	SLC1A5_-_47288033.23-P2
TSSK1B	TSSK1B_-_112770636.23-P1P2
TSSK1B	TSSK1B_+_112770265.23-P1P2
IKBKG	IKBKG_+_153775925.23-P1P2
PXK	PXK_+_58319125.23-P1P2
MAOB	MAOB_-_43741476.23-P1P2
S100A12	S100A12_+_153346925.23-P2
PPP1CA	PPP1CA_-_67188663.23-P2
ACVRL1	ACVRL1_-_52301119.23-P1P2
ALLC	ALLC_-_3705821.23-P1P2
SLC12A6	SLC12A6_-_34610620.23-P1
SLC12A6	SLC12A6_+_34630144.23-P2
SRPK1	SRPK1_+_35888829.23-P1P2
SCN1A	SCN1A_+_166930061.23-ENST00000303395.4
CUTA	CUTA_+_33385646.23-P1P2
TBXA2R	TBXA2R_-_3606692.23-P1P2
PPP4R1	PPP4R1_-_9614043.23-P1P2
PPP4R1	PPP4R1_-_9614411.23-P1P2
CA5B	CA5B_-_15756902.23-P1P2
ACPT	ACPT_+_51294074.23-ENST00000270593.1
CNKSR1	CNKSR1_+_26504060.23-P1P2
HTR4	HTR4_-_148033642.23-P1P2
PIK3C2B	PIK3C2B_-_204463896.23-P1P2
IGSF10	IGSF10_-_151163894.23-P1P2
IGSF10	IGSF10_-_151163679.23-P1P2
NMT2	NMT2_+_15210668.23-P1P2
CD209	CD209_+_7812455.23-P1P2
PPIB	PPIB_-_64455141.23-P1P2
PPIB	PPIB_-_64455144.23-P1P2
PPIB	PPIB_-_64455194.23-P1P2
NUDT9	NUDT9_+_88343954.23-P1P2
PRKCZ	PRKCZ_+_2005493.23-P1
HS3ST3A1	HS3ST3A1_-_13505271.23-P1P2
HS3ST3A1	HS3ST3A1_+_13505251.23-P1P2
NPR	NPR3_-_32710867.23-P1P2
NME3	NME3_-_1821123.23-P1P2
CDKN2C	CDKN2C_+_51435928.23-P1
MAGI3	MAGI3_+_113933181.23-P1P2
PRKAR2A	PRKAR2A_-_48885055.23-P1P2
PRKAR2A	PRKAR2A_+_48884705.23-P1P2
TRIM24	TRIM24_-_138145400.23-P1P2
RPS6KA1	RPS6KA1_-_26856712.23-P2
TUBA8	TUBA8_+_18593940.23-P1P2
FOLR3	FOLR3_-_71846801.23-P2
